"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79"
"Batch1_Cell1",2.82104579602189,0,0,0,0,0,2.01198660307336,0,0,0,0,0,0,0,0,0,0,0,0,1.00800212408497,2.01198660307336,0,0,2.01198660307336,0,0,0,0,0,0,0,3.92179217184131,0,0,0,0,0,0,1.00800212408497,0,0,0,0,0,0,0,0,1.00800212408497,0,3.18412045816496,0,0,0,1.59562216647348,0,0,0,0,2.01198660307336,0,0,0,0,1.00800212408497,0,2.01198660307336,0,0,0,0,1.00800212408497,0,0,0,0,0,0,0,2.82104579602189
"Batch1_Cell2",1.07741661624587,0,0,0,1.07741661624587,0,3.13286922832173,0,0,0,0,1.07741661624587,0,0,1.687288219822,0,0,0,0,0,1.07741661624587,0,0,2.11462082796635,0,0,0,0,0,1.07741661624587,0,2.71177453952896,1.07741661624587,0,1.07741661624587,0,0,0,0,0,0,0,0,0,0,0,2.44387600469358,0,0,2.71177453952896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71177453952896,0,0,0,0,1.07741661624587,0,0,3.59723788299678,0,1.07741661624587,0,0,1.07741661624587
"Batch1_Cell3",1.31619073348473,0,0,0,0,0,3.31331347383254,0,1.31619073348473,0,0,0,0,0,0,0,0,0,0,0,1.99282472605918,0,0,1.31619073348473,0,0,0,0,0,0,0,1.99282472605918,1.99282472605918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84906839874636,0,0,0,2.4516022740203,0,0,0,0,0,0,0,0,0,0,0,2.4516022740203,0,0,0,0,2.4516022740203,0,1.99282472605918,0,0,0,0,0,2.4516022740203
"Batch1_Cell4",2.94435964970467,1.14906283017865,0,0,0,0,3.34095158794484,0,0,1.14906283017865,0,0,0,0,1.78047629725405,0,0,1.14906283017865,0,0,0,0,0,2.55355501279088,0,0,0,0,0,0.686028867355662,0,3.34095158794484,0.686028867355662,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14906283017865,0,0,3.25155021085624,0,0,0,0,0,0,0,0.686028867355662,0,0,0,0,0,0.686028867355662,0,2.01587027969272,0,0,0,0,0.686028867355662,0,1.14906283017865,1.78047629725405,0,0,0,0,1.14906283017865
"Batch1_Cell5",4.31283337217157,0,0,0,0,0,0,0,0,0,0,0,0,2.51565675797167,0,2.51565675797167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92179217184131,0,0,0,0,0,0,0,0,0,0,0,0,2.51565675797167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51565675797167,0,0,0,0,0,0,0,2.51565675797167
"Batch1_Cell6",2.48311926399955,1.33933696606451,0,0,1.33933696606451,0,2.8321609072488,0,0,0,0,0,0,0,0,0,0,1.33933696606451,0,1.33933696606451,1.33933696606451,0,0,0,0,0,0,1.33933696606451,0,0,0,3.72713630575318,0,0,1.33933696606451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8321609072488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48311926399955,0,0,0,0,3.11299199641822,0,1.33933696606451,0,1.33933696606451,0,0,0,1.33933696606451
"Batch1_Cell7",2.66488960781089,0,1.64925451036686,0,0,0,4.26018215765683,0,1.04848560985482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64925451036686,0,2.3987417086464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04848560985482,0,0,0,0,0,0,0,1.64925451036686,0,0,0,0,0,0,0,2.3987417086464,2.88950184629705,0,3.25502637878427,0,0,0,0,0,0,0,1.04848560985482
"Batch1_Cell8",3.26221590037599,0,0,0,1.00800212408497,0,3.10155442771306,0,0,0.590302178731967,0,0,0,0,2.33471027492372,0,0,0,0,0,0,0,0,2.01198660307336,0,0,0,0,0,0.590302178731967,0.590302178731967,3.26221590037599,0.590302178731967,0,0.590302178731967,0,0,0,0,0,0,0,0,0,0,0,0.590302178731967,0,0,2.82104579602189,0.590302178731967,0,0,0,0,1.81877298714613,0,0,0.590302178731967,0,0,0,0,1.00800212408497,0,1.33152533134507,0,0,0,0,1.00800212408497,0,2.18235364587949,0,0,1.00800212408497,0,0,2.01198660307336
"Batch1_Cell9",2.43620928484714,0,0,0,0,1.97872720170946,4.27679998245394,0,0.795237472685343,1.68081447163741,0,0,0,0,0,0,0,0.795237472685343,0,0,0.795237472685343,0,0,1.68081447163741,0,0,0,0,0,1.97872720170946,0,2.78301738403084,0,0,0,0.795237472685343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795237472685343,0,0,0,0,0,0,0,0,2.22552635782348,1.97872720170946,0,2.62000944782036,0.795237472685343,0,1.30493502397406,0,0,0,0,0
"Batch1_Cell10",2.58757636352424,1.00156888590611,0,0,1.00156888590611,0,3.32475086227247,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586008614203936,0,0,1.80959566570916,0,0,0,0,0,0,0,3.32475086227247,0,0,0.586008614203936,0,0,0,1.80959566570916,0,0,0,0,0,0.586008614203936,0,0,1.3238105533448,0,3.32475086227247,0.586008614203936,0,0,1.58705396968833,0,0,0,0,0.586008614203936,0,0,0,0,0,0,2.46199799890728,0,0,0,0,1.80959566570916,0,1.3238105533448,0,0,0,0,0,2.00235268952971
