"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Gene101","Gene102","Gene103","Gene104","Gene105","Gene106","Gene107","Gene108","Gene109","Gene110","Gene111","Gene112","Gene113","Gene114","Gene115","Gene116","Gene117","Gene118","Gene119","Gene120","Gene121","Gene122","Gene123","Gene124","Gene125","Gene126","Gene127","Gene128","Gene129","Gene130","Gene131","Gene132","Gene133","Gene134","Gene135","Gene136","Gene137","Gene138","Gene139","Gene140","Gene141","Gene142","Gene143","Gene144","Gene145","Gene146","Gene147","Gene148","Gene149","Gene150","Gene151","Gene152","Gene153","Gene154","Gene155","Gene156","Gene157","Gene158","Gene159","Gene160","Gene161","Gene162","Gene163","Gene164","Gene165","Gene166"
"Batch1_Cell1",0,0,0,0,2.9068825841003,2.9068825841003,2.4150299884912,0,4.86623968399919,0,6.7142363616531,0,0,0,0,0,0,0,1.66295868785122,0,0,0,0,0,0,0,0,0,0,0,5.39802204914848,0,0,4.50249150430436,0,0,0,0,0,0,0,1.66295868785122,0,0,0,0,6.38081265081802,0,0,0,0,4.01494166921283,0,0,0,5.32191908193749,0,0,0,0,4.63419714793396,0,0,0,0,2.9068825841003,0,0,0,0,0,0,0,0,0,1.66295868785122,0,4.63419714793396,0,0,0,0,1.66295868785122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66295868785122,0,0,0,0,0,4.96961740192844,0,0,0,0,0,0,0,0,0,3.56477615592141,0,0,0,4.19638847297415,6.3037716211389,5.94640986564728,0,2.4150299884912,0,0,2.4150299884912,0,0,0,0,4.96961740192844,0,0,0,1.66295868785122,0,0,3.56477615592141,0,2.4150299884912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66295868785122,0
"Batch1_Cell2",0,3.59653136750039,0,0,3.59653136750039,0,0,2.23231426181531,2.23231426181531,0,0,0,0,0,3.07000157797093,0,0,0,0,4.28498463770779,0,0,0,0,0,0,0,0,2.23231426181531,5.0997093491863,0,0,0,5.81974659741175,0,0,0,0,0,0,0,0,5.61721992870664,0,0,2.23231426181531,0,0,4.74911047621752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15539618923644,0,0,0,0,0,0,5.81974659741175,0,0,0,0,0,0,7.50973300942845,0,0,0,2.23231426181531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07000157797093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07000157797093,0,0,0,0,0,0,0,0,4.74911047621752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59653136750039,0,0,3.07000157797093,4.28498463770779,0,0,0,0,0,0,0,0,0,0,0,5.81974659741175,0,0
"Batch1_Cell3",0,0,5.62849009181305,4.65736211851286,2.01056229180809,2.81941981988391,0,0,0,0,4.2612565509821,3.71342851932367,6.0138472121792,0,0,0,3.33459359719324,0,4.47286116519992,0,0,0,0,0,0,0,0,0,0,2.01056229180809,0,0,0,0,0,0,0,0,0,0,0,0,5.10111702972709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65736211851286,0,0,0,4.96781064559251,0,2.01056229180809,0,0,0,3.33459359719324,0,0,0,0,3.71342851932367,0,0,0,0,0,0,3.33459359719324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53732356960725,0,0,0,0,0,0,0,0,3.71342851932367,0,3.71342851932367,5.4400051336977,0,0,3.33459359719324,0,0,0,0,0,0,0,0,3.71342851932367,0,0,0,0,0,0,0,0,0,4.47286116519992,0,4.2612565509821,0,0,0,0,0,0,5.87180557827802,0,0,0,6.14314897862196,0,0,0,0,0,0,0,0,0,4.2612565509821,0,0,0,0,4.01319082619607,2.81941981988391,0,0,0
"Batch1_Cell4",0,0,1.29411686185545,4.08533557883617,3.04637611483713,1.96515137424585,0,0,4.97717162061093,0,5.43014414840122,0,4.20376654924084,0,2.42137279455789,0,0,0,2.76745848670508,0,0,0,0,0,0,0,0,4.90907064095814,4.08533557883617,0,1.96515137424585,0,0,1.29411686185545,0,1.29411686185545,0,0,4.08533557883617,3.04637611483713,0,4.20376654924084,1.29411686185545,0,5.52419907593307,3.2800075800284,0,0,1.29411686185545,0,0,1.29411686185545,0,0,0,0,0,1.96515137424585,0,0,0,0,0,2.76745848670508,4.90907064095814,0,0,0,0,0,0,0,3.65742813694437,3.65742813694437,0,0,0,0,0,0,0,0,3.2800075800284,2.76745848670508,0,0,0,0,0,3.2800075800284,0,1.29411686185545,0,0,0,0,0,0,0,3.65742813694437,3.65742813694437,0,0,1.29411686185545,0,0,0,0,0,0,4.59909718432655,5.04220234545603,2.76745848670508,0,0,0,0,4.08533557883617,0,0,1.96515137424585,1.29411686185545,0,3.04637611483713,0,0,3.04637611483713,0,0,0,1.29411686185545,0,0,5.04220234545603,0,0,4.41493088868502,0,0,0,0,0,0,0,0,0,6.25772639869931,0,0,0,0,4.31320873703501,0,0,0,0,3.04637611483713,0,0,0,0,4.97717162061093,0,0,0,0
"Batch1_Cell5",0,0,4.3537420277694,6.49018013870792,0,0,0,0,0,0,4.14306217737928,0,0,4.97992909387971,0,0,0,0,1.91761907350636,3.89626724591298,0,0,0,0,0,0,0,3.22249106166078,3.89626724591298,0,0,0,0,5.50614007727266,0,0,0,0,0,1.91761907350636,0,0,5.31802273958306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41514538678781,0,0,0,0,0,0,2.71281167279689,0,0,0,0,0,1.91761907350636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14306217737928,0,0,0,0,0,0,0,1.91761907350636,0,0,4.14306217737928,1.91761907350636,5.67253365255286,0,0,0,1.91761907350636,2.71281167279689,0,0,0,1.91761907350636,0,4.70054594590334,0,0,1.91761907350636,0,0,0,0,0,0,0,0,0,6.19431862154613,0,0,0,3.22249106166078,0,0,0,0,0,0,0,0,3.89626724591298,2.71281167279689,5.41514538678781,0,0,0,0,4.14306217737928,0,0,0,0,4.84698992413713,4.70054594590334,0,0,0
"Batch1_Cell6",0,0,4.66869497596683,5.03405698767584,0,0,0,0,5.32533748006116,0,0,2.55749096643272,7.13211055476365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05835892755352,0,0,5.32533748006116,0,0,3.72433103235108,0,0,0,0,0,3.42943653706884,0,0,4.52298068418797,0,0,0,4.52298068418797,0,0,0,0,0,0,0,0,5.64005111797679,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72433103235108,0,0,0,0,7.10675910789009,0,4.17822901450925,0,0,3.96905744901279,0,0,0,0,0,0,2.55749096643272,0,0,0,0,0,0,0,0,0,0,0,0,1.78384006514126,0,0,0,0,0,0,0,0,0,0,0,0,1.78384006514126,1.78384006514126,3.96905744901279,0,0,3.05835892755352,0,0,0,0,0,0,0,0,0,0,0,0,2.55749096643272,0,0,0,0,4.80103264805043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17822901450925,0,0,2.55749096643272,0,0,0,0,0,0,0
"Batch1_Cell7",0,0,3.64529728434164,3.01517830317294,0,3.16513806529481,0,0,3.74395315026838,3.42510203756874,1.87055371602953,0.915005558164987,5.28835053130956,1.87055371602953,1.47048619612165,0,0,0,1.47048619612165,0.915005558164987,0,0,4.83050209598628,0,3.42510203756874,0.915005558164987,0,0,0,0,5.47226811663746,0,0,4.87472039185839,1.87055371602953,3.16513806529481,0,0,0,0,0,2.4403892727501,5.63536837790282,0,0,0,0,0,0,0,0,0,0,0,0,1.87055371602953,0,0,0,0,0,0,0,2.4403892727501,3.92307513036102,0,0,0,0,0.915005558164987,0,0,0,0.915005558164987,7.71421814297904,0,0,0,0,2.65843041695734,1.47048619612165,0,3.5393965768117,0,0,0,0,0,0,2.18342469082547,0,0,0,0,0,1.47048619612165,3.42510203756874,2.84780340286738,0,3.5393965768117,0,0,2.65843041695734,0,0,1.47048619612165,3.30096761724041,0,0,0,5.44319765774281,2.4403892727501,0,1.87055371602953,3.64529728434164,0,0,1.47048619612165,2.84780340286738,0,0,2.65843041695734,0,0,0,0,0.915005558164987,0,0,0,0,0,0.915005558164987,0,0,2.4403892727501,0,0,0,0,2.4403892727501,0,0,0,0,0,0,0,0,3.83629228261327,0,0,0,0,0,0,0,0,0,0,0.915005558164987,0,0,1.47048619612165,0,0
"Batch1_Cell8",0,0,4.49064366121271,3.0286366756883,0,0,0,0,3.55343090254423,5.95101063824154,6.80717354164062,0,0,2.19540775040721,6.89659036196969,0,0,0,0,0,0,0,5.33564405375875,0,0,0,0,2.19540775040721,3.9374163230705,0,0,0,0,0,0,2.19540775040721,0,0,0,0,0,0,0,0,0,4.24038721169714,0,0,5.33564405375875,4.24038721169714,0,0,0,0,2.19540775040721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19540775040721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19540775040721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49064366121271,0,0,0,0,0,4.24038721169714,0,0,0,0,0,0,0,6.03217662114733,4.7038391798137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0286366756883,0,0,0,0,5.57114533338635,0,0,0,0,0,0,0,0,3.0286366756883,0,0,0,0,0
"Batch1_Cell9",0,0,0,0,0,0,0,0,0,0,0,0,6.17671584599775,0,0,0,0,0,0,0,0,0,0,0,4.82976579479743,0,0,0,0,0,3.58199465311045,0,0,0,0,0,0,0,0,0,0,0,5.08432022409144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30062485651654,0,0,0,0,2.69770038338329,0,7.220785401992,0,5.08432022409144,0,0,0,2.69770038338329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69770038338329,0,0,0,0,0,0,5.65503771632176,0,0,0,0,0,0,5.65503771632176,0,0,0,6.99114090595215,2.69770038338329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93932925824941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batch1_Cell10",3.42308462977794,0,5.43120271518068,3.62613361731333,0,5.13101958444213,0,4.35421657218999,5.58528090032775,0,5.85142235812022,1.3901476209797,4.75151084333065,0,0,0,0,0,1.3901476209797,3.42308462977794,0,0,0,2.08478202324101,4.35421657218999,0,0,0,0,0,5.19626118953512,0,0,3.42308462977794,0,3.42308462977794,0,0,3.18670258132225,2.08478202324101,0,5.13101958444213,3.80409899436902,0,0,0,0,0,3.18670258132225,0,0,0,0,0,0,0,0,1.3901476209797,0,3.18670258132225,2.08478202324101,0,0,0,1.3901476209797,0,0,0,0,2.55167964875783,0,0,0,3.9625022799018,0,3.18670258132225,0,0,4.66196758496254,0,0,0,5.25867964482642,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19626118953512,0,0,4.10522128767115,1.3901476209797,0,0,0,0,0,0,0,0,0,3.42308462977794,0,2.08478202324101,0,0,0,0,3.62613361731333,0,0,0,3.62613361731333,0,0,0,0,0,0,0,0,3.42308462977794,0,0,3.42308462977794,0,3.80409899436902,2.55167964875783,0,0,0,0,0,4.46425754023258,0,0,0,1.3901476209797,1.3901476209797,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18670258132225,0,0,2.08478202324101,0
