"","batch","celltype"
"Batch1_Cell1","Batch1","1"
"Batch1_Cell2","Batch1","1"
"Batch1_Cell3","Batch1","1"
"Batch1_Cell4","Batch1","1"
"Batch1_Cell5","Batch1","1"
"Batch1_Cell6","Batch1","1"
"Batch1_Cell7","Batch1","1"
"Batch1_Cell8","Batch1","1"
"Batch1_Cell9","Batch1","1"
"Batch1_Cell10","Batch1","1"
"Batch1_Cell11","Batch1","1"
"Batch1_Cell12","Batch1","1"
"Batch1_Cell13","Batch1","1"
"Batch1_Cell14","Batch1","1"
"Batch1_Cell15","Batch1","1"
"Batch1_Cell16","Batch1","1"
"Batch1_Cell17","Batch1","1"
"Batch1_Cell18","Batch1","1"
"Batch1_Cell19","Batch1","1"
"Batch1_Cell20","Batch1","1"
"Batch1_Cell21","Batch1","1"
"Batch1_Cell22","Batch1","1"
"Batch1_Cell23","Batch1","1"
"Batch1_Cell24","Batch1","1"
"Batch1_Cell25","Batch1","1"
"Batch1_Cell26","Batch1","1"
"Batch1_Cell27","Batch1","1"
"Batch1_Cell28","Batch1","1"
"Batch1_Cell29","Batch1","1"
"Batch1_Cell30","Batch1","1"
"Batch1_Cell31","Batch1","1"
"Batch1_Cell32","Batch1","1"
"Batch1_Cell33","Batch1","1"
"Batch1_Cell34","Batch1","1"
"Batch1_Cell35","Batch1","1"
"Batch1_Cell36","Batch1","1"
"Batch1_Cell37","Batch1","1"
"Batch1_Cell38","Batch1","1"
"Batch1_Cell39","Batch1","1"
"Batch1_Cell40","Batch1","1"
"Batch1_Cell41","Batch1","1"
"Batch1_Cell42","Batch1","1"
"Batch1_Cell43","Batch1","1"
"Batch1_Cell44","Batch1","1"
"Batch1_Cell45","Batch1","1"
"Batch1_Cell46","Batch1","1"
"Batch1_Cell47","Batch1","1"
"Batch1_Cell48","Batch1","1"
"Batch1_Cell49","Batch1","1"
"Batch1_Cell50","Batch1","1"
"Batch1_Cell51","Batch1","1"
"Batch1_Cell52","Batch1","1"
"Batch1_Cell53","Batch1","1"
"Batch1_Cell54","Batch1","1"
"Batch1_Cell55","Batch1","1"
"Batch1_Cell56","Batch1","1"
"Batch1_Cell57","Batch1","1"
"Batch1_Cell58","Batch1","1"
"Batch1_Cell59","Batch1","1"
"Batch1_Cell60","Batch1","1"
"Batch1_Cell61","Batch1","1"
"Batch1_Cell62","Batch1","1"
"Batch1_Cell63","Batch1","1"
"Batch1_Cell64","Batch1","1"
"Batch1_Cell65","Batch1","1"
"Batch1_Cell66","Batch1","1"
"Batch1_Cell67","Batch1","1"
"Batch1_Cell68","Batch1","1"
"Batch1_Cell69","Batch1","1"
"Batch1_Cell70","Batch1","1"
"Batch1_Cell71","Batch1","1"
"Batch1_Cell72","Batch1","1"
"Batch1_Cell73","Batch1","1"
"Batch1_Cell74","Batch1","1"
"Batch1_Cell75","Batch1","1"
"Batch1_Cell76","Batch1","1"
"Batch1_Cell77","Batch1","1"
"Batch1_Cell78","Batch1","1"
"Batch1_Cell79","Batch1","1"
"Batch1_Cell80","Batch1","1"
"Batch1_Cell81","Batch1","1"
"Batch1_Cell82","Batch1","1"
"Batch1_Cell83","Batch1","1"
"Batch1_Cell84","Batch1","1"
"Batch1_Cell85","Batch1","1"
"Batch1_Cell86","Batch1","1"
"Batch1_Cell87","Batch1","2"
"Batch1_Cell88","Batch1","2"
"Batch1_Cell89","Batch1","2"
"Batch1_Cell90","Batch1","2"
"Batch1_Cell91","Batch1","2"
"Batch1_Cell92","Batch1","2"
"Batch1_Cell93","Batch1","2"
"Batch1_Cell94","Batch1","2"
"Batch1_Cell95","Batch1","2"
